0.56094134,0.69512016,0,0.38404807,0.11622519,0.45633478,0.36030636,0.40210585,0.26039395,0.38822547,0.3958557,0.57241665,0.59989666,0.51866731,0.76788168,0.40384033,0.53745687,0.62250086,0.21905951,0,0.44257972,0.21043884,0.61058667,0.37852451,0.70925844,0.52275355,0.22544015,0.34764836,0.14081546,0.61437196,0.14956233,0.55247191,0.29587292,0.21509508,0.55878372,0.48282763,0.64214473,0.3699393,0.24485229,1,0.64499879,0.74508395,0.73940697,0.52141259,0.37672244,0.64097036,0.14488501,0.36433554,4
0.12160736,0.15603182,0.81423767,0.53013897,0.08949049,0.26481894,0.52553657,0.69183145,0.37971791,0.25140722,0.31857646,0.41780104,0.42674423,0.37868062,0.61862904,0.23802624,0.27839144,0.27959322,0.57346481,0.85891963,0.22067595,0.44437414,1,0.43412793,0.79174062,0.99707678,0.92745977,0.35487484,0.43438085,0.56190697,0.30020594,0.6346123,0.41841721,0.26956886,0.30461101,0.32283962,0.75521625,0.57108265,0.40355445,0.35812276,0.69395208,0.20004588,0.3861858,0.31331808,0.36737171,0.5226726,0.26522316,0.39736027,1
1,0.65798022,0.65634821,0.48967484,0.27971292,0.45804934,0.54957124,0.32945978,0.32709719,0.38650052,0.5716454,0.27527058,0.51102626,0.31218302,0.70632421,0.34676675,0.44261216,0.36999229,0.60356843,0.73578478,0.17290432,0.17761514,0.65838683,0.86895715,0.41590796,0.33789872,0.34374342,0.20095691,0.38990501,0.6029152,0.33089569,0.56374622,0.39895373,0.63160345,0.67555578,0.68610538,0.80944533,0.28765459,0.68803234,0.77507129,0,0.19811132,0,0.42315654,0.57382429,0.31073016,0.19438436,0.49242438,4
0.44797161,0.53678247,0.29545705,0.42016393,0.09162775,0.46566471,0.19956642,0.46970187,0.42772308,0.52468595,0.52105666,0.38887031,0.31208398,0.63804689,0.25641676,0.4287532,0.35151775,0.45773932,0.44426935,0.56720287,0.38350226,0.65103313,0.37478485,0.39499473,0.74284622,0.49018749,0.42485869,0.28979937,0.35120176,0.46906464,0.46491267,0.48774939,0.51259543,0.55004012,0.63776825,0.84036327,0.88314493,0.40733973,0.55423683,0.00361266,0.35222276,0.33580406,1,1,0.50101726,0,0.22026976,0.28551703,4
0.9868512,0.70583909,0.46161002,0.5402543,0.35998155,0.44722942,0.38927116,0.48065045,0.23290976,0.38572941,0.22535034,0.09050605,0.27972458,0.17088365,0.47673024,0.37677054,0.29034235,0.38026029,0.49354919,0.47871054,0.51253576,0.52440801,0.34660674,0.19959907,0.90254101,0.43072236,0.34846338,0.11219042,0.69292028,0.63601364,0.55708132,0.07722951,0.63196919,0.4177141,0,0.27403123,0.29341326,0.50391566,0.17831496,0.60271222,0.33873519,0.37785801,0.32385213,0.64230202,0.18793235,0.3153399,0.50411783,0.53716266,3
0.0061445,0.42142403,0.17625681,0.3772057,0.53736334,0,0.55948414,0.13694264,0.39743434,0.38479305,1,0.15596498,0.76824391,0.2109379,0.5103349,0.01579618,0.36763712,0.57763719,0.62179924,0.11006076,0.69210473,0.85380453,0.54928061,0.45077507,0.3442421,0.49008176,0.64144913,0.46187153,0.42408299,0.6765806,0.51051026,0.43891583,0.63852256,0.56044584,0.56028739,0.69004814,0.41583503,0.70580559,0.40803353,0.57692747,0.54112336,0.27529616,0.43999421,0.4716207,0.43122891,0.36087429,0.41700112,0.43502969,1
0.01276805,0.71424083,0.0407051,0.56949724,0.23383405,0.58715543,0.28855789,0.35757577,0.28321163,0.17825222,0.3772761,0,0.39154421,0.38850605,0.16780205,0.35207383,0.39779893,0.43304779,0.486262,0.38649702,0.20216827,0.59404072,0.5639844,0.61310651,0.57612354,0.17939375,0.62131166,0,0.44219204,0.29767041,0.65970559,1,0.25020003,0.60255915,0.5027688,0.44493965,0.23489019,0.22229118,0.38742001,0.32723847,0.49744051,0.51538824,0.17132524,0.68280939,0.39300192,0.97582182,0.39143476,0.45565363,2
0.95885044,0.70788041,0.74131543,0.61948876,0.27108616,0.40436965,0.42802169,0.31380572,0.37986999,0.43981269,0.3410538,0.2379776,0.58436907,0.36956288,0.69020705,0.33744278,0.16534546,0.62172785,0.5669794,0.91591036,0.28926144,0.37998663,0.66136542,0.61093684,0,0.3432388,0.13331613,0.30333845,0.29051385,0.11352777,0.70460471,0.60457264,0.39513471,0.65384791,0.39826801,0.75927848,0.40725825,0.84199345,0.21945562,0.44097131,0.76108239,0.68993737,0.77771575,0.29336452,0.22002697,0.36074786,0.46004524,0.27057791,4
0.24456152,0.15118222,0.98469914,0.45500804,0.35611242,0.18736247,0,0.093621,0.17941205,0.28343975,0.42810797,0.54809575,0.25500938,0.54959433,0.67732534,0.44926132,0.48160238,1,0.533686,0.42728889,0.45480994,0.00721539,0.3677238,0.78196887,0.67554419,0.21107119,0.77893424,0.02033796,0.37630225,0.48306284,0.28745131,0.26794717,0.53343959,0.6414382,0.49969145,0.30948086,0.18305602,0.44313226,0.65007882,0.38497122,0.61874423,0.41600405,0.46854575,0.43149122,0.4976243,0.4400107,0.43586834,0.35731064,1
0.17433716,0.04094721,0.56569343,0.38040819,0.48889432,0.18903506,0.3221686,0.36980137,0.01788782,0.29905545,0.49209815,0.10271678,0.45476931,0.3002406,0.60505474,0.4655843,0.45976369,0.25017148,0.41387318,0.43260859,0.29094075,0.06007013,0.40959924,0.47425287,0.29188045,0.31422653,0.06250807,0.7129625,0.27447854,0.48400763,0.58363872,0.64087568,0.83523026,0.19213163,0.32475549,0.29152442,1,0.3261302,0.42226118,0.1520287,0.31371816,0.75569141,0.54233485,0.42910513,0.41787098,0.65237553,0.42631875,0.51417138,1
